A_1_front,A_1_left,A_1_right,A_1_back,A_2_front,A_2_left,A_2_right,A_2_back,A_3_front,A_3_left,A_3_right,A_3_back,A_4_front,A_4_left,A_4_right,A_4_back,A_5_front,A_5_left,A_5_right,A_5_back,A_6_front,A_6_left,A_6_right,A_6_back,A_7_front,A_7_left,A_7_right,A_7_back,x,y,z,source_file
0.7107,0.5473,0.7777,0.0312,7.6613,6.4543,5.8571,6.6167,-0.0649,-0.5974,0.7055,1.139,-6.6116,-5.0224,-3.9343,-4.9463,0.0746,-1.2037,0.1939,2.0005,2.004,-0.6845,-1.919,-0.6418,0.2391,0.2722,0.2727,0.2278,50.0,50.0,50,4eck_g_o_10.csv
0.0323,0.6564,-0.0247,0.0893,7.4979,6.4544,5.9959,6.6581,-0.406,-0.475,0.3906,1.2196,-6.5103,-4.9975,-3.9789,-4.9533,0.124,-1.1612,0.2371,2.0201,1.9474,-0.8302,-1.9591,-0.747,0.2119,0.2506,0.2395,0.2467,50.0,50.0,50,4eck_g_o_1.csv
0.6248,0.4955,0.0891,0.0745,7.534,6.4893,6.0693,6.7227,0.4345,-0.5869,0.4908,1.2567,-6.6043,-4.9968,-3.9392,-5.0535,0.138,-1.1561,0.3196,2.0601,2.0535,-0.7095,-1.9223,-0.6287,0.2389,0.2846,0.2357,0.2003,50.0,50.0,50,4eck_g_o_7.csv
0.7765,0.352,0.6272,0.0798,7.7359,6.5812,6.0081,6.5715,-0.0797,-0.6299,0.8027,1.2546,-6.729,-5.0625,-3.8874,-4.9224,0.1767,-1.1424,0.5646,2.0582,2.0619,-0.785,-1.963,-0.7437,0.2536,0.2629,0.2394,0.2269,50.0,50.0,50,4eck_g_o_5.csv
0.5612,0.4252,0.5896,0.1318,7.0735,5.8962,5.7519,5.9098,0.2472,-0.5158,0.7885,1.2224,-5.9715,-4.5609,-3.7862,-4.4682,0.2942,-0.8836,0.427,1.7291,1.7298,-0.697,-1.619,-0.5962,0.2207,0.2689,0.264,0.221,50.0,31.75,25,6eck_f_u_5.csv
0.3341,0.4203,0.4655,0.0969,7.1348,5.8943,5.3925,6.0544,0.1942,-0.4758,0.3917,1.2314,-6.1045,-4.5416,-3.6939,-4.573,0.2223,-0.867,0.4397,1.7467,1.7783,-0.6856,-1.543,-0.6208,0.2062,0.2686,0.2601,0.2169,50.0,31.75,25,6eck_f_u_3.csv
-0.0925,0.4402,0.7295,0.0458,6.6462,5.9771,5.579,5.9963,-0.0375,-0.5354,0.8156,1.206,-5.7743,-4.5808,-3.7166,-4.4681,0.4013,-0.8962,0.2008,1.7264,1.716,-0.74,-1.6418,-0.6481,0.1959,0.2631,0.2548,0.2197,50.0,31.75,25,6eck_f_u_4.csv
-0.1344,0.4652,0.7111,0.034,6.6167,6.0233,5.6509,6.0428,0.2627,-0.5352,0.618,1.2175,-5.7861,-4.6243,-3.7978,-4.5517,0.5458,-0.8773,0.1933,1.7205,1.7337,-0.7286,-1.6114,-0.6395,0.1859,0.2794,0.2561,0.2087,50.0,31.75,25,6eck_f_u_8.csv
-0.1363,0.4789,0.0611,0.0386,7.1876,6.2566,5.852,6.3473,0.1957,-0.5817,0.5336,1.2904,-6.2035,-4.8171,-3.9448,-4.7819,0.4939,-1.0227,0.5425,1.8912,1.8891,-0.7663,-1.7699,-0.7266,0.1875,0.2747,0.2386,0.2057,91.0,53.33,30,Rechteck_l_u_5.csv
0.7483,0.5751,0.4081,-0.0197,7.2596,6.2043,5.6988,6.3685,0.2347,-0.5638,0.5524,1.2783,-6.237,-4.8097,-3.8138,-4.7867,0.1632,-1.0005,0.3944,1.882,1.8523,-0.7632,-1.8108,-0.7008,0.2435,0.2592,0.229,0.2073,91.0,53.33,30,Rechteck_l_u_4.csv
-0.2054,0.418,0.1899,0.0191,7.3326,6.2127,5.7737,6.3485,-0.368,-0.6881,0.6007,1.3439,-6.3475,-4.8151,-3.8367,-4.8319,0.5202,-1.061,0.2651,1.8611,1.9291,-0.8038,-1.8131,-0.6915,0.1757,0.2569,0.2464,0.2008,91.0,53.33,30,Rechteck_l_u_3.csv
0.1134,0.6578,-0.0128,0.1395,7.1501,6.2904,5.7839,6.3211,0.5443,-0.4822,0.669,1.458,-6.1871,-4.8454,-3.8172,-4.7852,0.5193,-1.0231,0.3586,1.9168,1.8329,-0.78,-1.8201,-0.6981,0.1915,0.2544,0.2208,0.217,91.0,53.33,30,Rechteck_l_u_1.csv
0.5774,0.5825,-0.0134,0.0602,9.3886,7.6817,7.0465,7.7275,-0.2449,-0.7485,0.2907,1.6024,-8.0599,-6.0702,-4.4727,-5.8689,0.2128,-1.6397,0.5127,2.5943,2.5736,-0.7328,-2.4336,-0.8108,0.2521,0.2741,0.1879,0.1683,54.5,47.5,20,3eck_l_u_6.csv
0.6479,0.394,0.417,0.0678,9.1712,7.5655,6.7593,7.6549,0.4471,-0.9263,0.7586,1.598,-7.9555,-5.8139,-4.2353,-5.6805,0.3771,-1.7481,0.4536,2.3962,2.4343,-0.9239,-2.5844,-0.9403,0.1807,0.2189,0.2631,0.2309,54.5,47.5,20,3eck_l_u_2.csv
0.5991,0.5252,0.6588,0.0313,9.4856,7.7219,7.0027,7.8207,0.301,-0.8863,0.4943,1.5627,-8.1569,-5.9798,-4.598,-5.8411,0.1586,-1.7665,0.3572,2.3853,2.5933,-0.8474,-2.3434,-0.8599,0.1758,0.2612,0.2957,0.1743,54.5,47.5,20,3eck_l_u_4.csv
0.6231,0.6185,0.605,0.2621,9.2867,7.8634,6.8314,7.6755,0.3966,-0.7433,0.869,1.8258,-8.0661,-6.0741,-4.3402,-5.7463,0.2416,-1.5451,0.287,2.5703,2.5717,-0.8293,-2.4936,-0.9061,0.2747,0.2378,0.1678,0.1957,54.5,47.5,20,3eck_l_u_5.csv
0.3018,0.433,-0.0661,-0.0014,6.6491,5.9281,5.576,6.0006,-0.552,-0.6244,0.4121,1.4046,-5.8887,-4.5606,-3.722,-4.5423,0.1165,-0.8807,0.3725,1.7293,1.7823,-0.7105,-1.676,-0.6611,0.2023,0.2449,0.2185,0.1922,87.5,47.5,20,Lumi_l_u_7.csv
