A_1_center,A_1_front,A_1_left,A_1_right,A_1_back,A_2_center,A_2_front,A_2_left,A_2_right,A_2_back,A_3_center,A_3_front,A_3_left,A_3_right,A_3_back,A_4_center,A_4_front,A_4_left,A_4_right,A_4_back,A_5_center,A_5_front,A_5_left,A_5_right,A_5_back,A_6_center,A_6_front,A_6_left,A_6_right,A_6_back,A_7_center,A_7_front,A_7_left,A_7_right,A_7_back,x,y,z,source_file,Objektname,Objektkategorie,OAufnahme,Schwierigkeit,Gewicht
0.4763,0.3165,0.4956,-0.1215,-0.0672,6.8873,7.5924,6.3801,6.0658,6.4197,0.9729,0.3637,-0.2169,0.4461,1.0831,-5.2334,-6.7232,-4.9941,-3.8878,-4.891,0.8403,0.3788,-1.1571,0.2662,2.0641,-0.2124,2.1051,-0.7336,-1.9452,-0.761,0.2957,0.2818,0.3135,0.2283,0.2058,50.0,50.0,50.0,4eck_g_O_V_u_1.csv,4eck,1,2,1,185.5
0.497,0.0085,0.3899,0.6804,0.1676,6.9458,7.858,6.4475,5.8689,6.5313,0.5466,0.1266,-0.4088,0.5306,1.2771,-5.3557,-6.7772,-5.0037,-3.8564,-4.9448,0.7215,0.5448,-1.2225,0.1519,2.0333,-0.2677,2.1184,-0.8133,-1.966,-0.7794,0.2881,0.2134,0.2977,0.2569,0.2011,50.0,50.0,50.0,4eck_g_O_V_u_2.csv,4eck,1,2,1,185.5
0.4316,-0.1502,0.3398,-0.154,0.048,6.807,7.5321,6.432,5.9583,6.3993,0.9505,0.1765,-0.4399,0.3501,1.238,-5.2799,-6.5543,-5.0109,-3.9478,-4.9033,0.7121,0.462,-1.2515,0.1873,1.9762,-0.2828,2.1238,-0.8279,-1.9482,-0.7472,0.2769,0.1961,0.3113,0.2361,0.1949,50.0,50.0,50.0,4eck_g_O_V_u_3.csv,4eck,1,2,1,185.5
0.4469,0.7315,0.4341,0.4236,0.1068,6.8752,7.4978,6.4102,6.09,6.5223,1.0012,0.5512,-0.4441,0.4742,1.2907,-5.2969,-6.6745,-5.0384,-3.9672,-4.9982,0.7833,0.221,-1.171,0.5306,2.0775,-0.2358,2.1462,-0.7689,-1.9504,-0.7327,0.2741,0.2683,0.3115,0.2377,0.1881,50.0,50.0,50.0,4eck_g_O_V_u_4.csv,4eck,1,2,1,185.5
0.4873,-0.0757,0.3271,0.0134,0.0005,6.9167,7.6387,6.4398,5.9942,6.5514,0.9351,0.5135,-0.4916,0.5602,1.212,-5.3403,-6.592,-5.0441,-3.9927,-4.9862,0.7992,0.6341,-1.1773,0.3746,2.0678,-0.2136,2.1524,-0.7634,-1.9208,-0.7537,0.2659,0.2143,0.3217,0.2069,0.1754,50.0,50.0,50.0,4eck_g_O_V_u_5.csv,4eck,1,2,1,185.5
0.476,-0.0449,0.2698,0.7083,0.1135,6.9393,7.6554,6.4537,6.2273,6.6314,0.7808,0.2931,-0.502,0.8344,1.3556,-5.406,-6.7219,-4.9571,-4.1574,-5.0608,0.8339,0.6327,-1.1409,0.269,2.117,-0.2051,2.1817,-0.7926,-1.8757,-0.7517,0.2592,0.2174,0.3285,0.2378,0.1546,50.0,50.0,50.0,4eck_g_O_V_u_6.csv,4eck,1,2,1,185.5
0.5915,0.7358,0.3018,0.6523,0.0499,6.9691,7.6159,6.3907,6.1249,6.5358,0.4116,0.4636,-0.5555,0.8153,1.3182,-5.402,-6.6934,-5.0286,-4.0038,-5.0612,0.7554,0.5388,-1.2248,0.5738,2.0319,-0.2364,2.1568,-0.7747,-1.9026,-0.7015,0.1811,0.1813,0.3338,0.2455,0.1554,50.0,50.0,50.0,4eck_g_O_V_u_7.csv,4eck,1,2,1,185.5
0.5817,0.6669,0.3718,0.5671,-0.0251,6.9432,7.6453,6.5191,5.9441,6.4462,0.5035,0.0312,-0.5055,0.751,1.2483,-5.3302,-6.7221,-5.101,-3.9297,-4.9155,0.8214,0.2099,-1.1962,0.3001,2.031,-0.2732,2.1548,-0.7553,-1.9512,-0.7925,0.2669,0.2448,0.3197,0.2302,0.1723,50.0,50.0,50.0,4eck_g_O_V_u_8.csv,4eck,1,2,1,185.5
0.5892,-0.1412,0.3019,0.5437,0.019,7.024,7.9223,6.3258,5.9539,6.5494,0.8398,0.4453,-0.6108,0.7639,1.2243,-5.4741,-6.8382,-5.0231,-3.9712,-5.05,0.7289,0.5422,-1.2319,0.2274,2.011,-0.2728,2.1825,-0.8225,-1.8704,-0.6887,0.1673,0.1505,0.3203,0.2547,0.1603,50.0,50.0,50.0,4eck_g_O_V_u_9.csv,4eck,1,2,1,185.5
0.5196,0.2779,0.4532,-0.044,0.0263,7.0179,7.7591,6.3804,6.02,6.4956,0.4948,0.4026,-0.4428,0.424,1.3155,-5.4223,-6.695,-5.0119,-3.9443,-4.977,0.7502,0.5779,-1.1871,0.244,2.016,-0.2944,2.1321,-0.8482,-1.9198,-0.7572,0.1652,0.1706,0.3049,0.2142,0.1696,50.0,50.0,50.0,4eck_g_O_V_u_10.csv,4eck,1,2,1,185.5
